volume,chapter,region,kingdom_folder,kingdom_name,main_character,main_villain,kannada_story_file,english_story_file,kannada_audio_file,english_audio_file,media_kingdoms_folder,hero_image_name,villain_image_name,kingdom_dir,kingdom_dir_exists,stories_dir,story_count,story_names,tattoo_dir,tattoo_count,tattoo_files,emblem_dir,emblem_count,emblem_files,kingdoms_dir,kingdoms_count,kingdoms_files,portraits_dir,portraits_count,portraits_files,vehicles_dir,vehicles_count,vehicles_files,weapons_dir,weapons_count,weapons_files
Volume I - Maha Parva,Chapter 1 - Rise of Legends,central,dandakaranya,Dandakaranya — The Punished Forest,Dandakarni,Dandaka-Rakshasa,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/central/dandakaranya/stories/blood-and-iron/story.md,audio/kannada/chapter-1-rise-of-legends__dandakaranya__blood-and-iron.kn.mp3,audio/chapter-1-rise-of-legends__dandakaranya__blood-and-iron.m4a,,,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/central/dandakaranya,YES,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/central/dandakaranya/stories,1,blood-and-iron,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/central/dandakaranya/media/tattoo,4,chhattisgarh-tattoo-stage-1-footprint.png; chhattisgarh-tattoo-stage-2-leg.png; chhattisgarh-tattoo-stage-3-half-body.png; chhattisgarh-tattoo-stage-4-full-body.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/central/dandakaranya/media/emblem,2,chhattisgarh-dandakaranya-emblem.png; dandakaranya-royal-emblem.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/central/dandakaranya/media/kingdoms,0,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/central/dandakaranya/media/portraits,1,dandakaranya-hero-portrait.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/central/dandakaranya/media/vehicles,2,chhattisgarh-vehicle-vana-ratha-modern.png; chhattisgarh-vehicle-vana-vahana-ancient.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/central/dandakaranya/media/weapons,2,chhattisgarh-weapon-dandaka-danda-ancient.png; chhattisgarh-weapon-vana-shakti-mk-ii-modern.png
Volume I - Maha Parva,Chapter 1 - Rise of Legends,central,hridaya-sthana,Hridaya-Sthana — The Heartland,Dvadashashringa,Adharma-Kendra,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/central/hridaya-sthana/stories/the-twelve-move-war/story.md,audio/kannada/chapter-1-rise-of-legends__hridaya-sthana__the-twelve-move-war.kn.mp3,audio/chapter-1-rise-of-legends__hridaya-sthana__the-twelve-move-war.m4a,,,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/central/hridaya-sthana,YES,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/central/hridaya-sthana/stories,1,the-twelve-move-war,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/central/hridaya-sthana/media/tattoo,4,madhya-pradesh-tattoo-stage-1-footprint.png; madhya-pradesh-tattoo-stage-2-leg.png; madhya-pradesh-tattoo-stage-3-half-body.png; madhya-pradesh-tattoo-stage-4-full-body.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/central/hridaya-sthana/media/emblem,2,hridaya-bharat-royal-emblem.png; madhya-pradesh-hridaya-sthana-emblem.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/central/hridaya-sthana/media/kingdoms,0,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/central/hridaya-sthana/media/portraits,1,hridaya-bharat-hero-portrait.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/central/hridaya-sthana/media/vehicles,2,madhya-pradesh-vehicle-hridaya-ratha-ancient.png; madhya-pradesh-vehicle-hridaya-ratha-mk-ii-modern.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/central/hridaya-sthana/media/weapons,2,madhya-pradesh-weapon-dvadasha-shakti-ancient.png; madhya-pradesh-weapon-hridaya-chakra-mk-ii-modern.png
Volume I - Maha Parva,Chapter 1 - Rise of Legends,east,kalinga-chakra,Kalinga-Chakra — The Wheel of Kalinga,Jagannathi,Chakra-Bheda,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/east/kalinga-chakra/stories/the-war-against-grief-itself/story.md,audio/kannada/chapter-1-rise-of-legends__kalinga-chakra__the-war-against-grief-itself.kn.mp3,audio/chapter-1-rise-of-legends__kalinga-chakra__the-war-against-grief-itself.m4a,,,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/east/kalinga-chakra,YES,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/east/kalinga-chakra/stories,1,the-war-against-grief-itself,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/east/kalinga-chakra/media/tattoo,4,odisha-tattoo-stage-1-footprint.png; odisha-tattoo-stage-2-leg.png; odisha-tattoo-stage-3-half-body.png; odisha-tattoo-stage-4-full-body.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/east/kalinga-chakra/media/emblem,2,kalinga-reborn-royal-emblem.png; odisha-kalinga-chakra-emblem.png,,0,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/east/kalinga-chakra/media/portraits,1,kalinga-reborn-hero-portrait.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/east/kalinga-chakra/media/vehicles,2,odisha-vehicle-dharma-chakra-modern.png; odisha-vehicle-dharma-ratha-ancient.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/east/kalinga-chakra/media/weapons,2,odisha-weapon-ratha-ancient.png; odisha-weapon-ratha-mk-ii-modern.png
Volume I - Maha Parva,Chapter 1 - Rise of Legends,east,sagara-ratna,Sagara-Ratna — The Ocean's Jewels,Onge-Nakshatra,Kalapani-Asura,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/east/sagara-ratna/stories/the-unlocking/story.md,audio/kannada/chapter-1-rise-of-legends__sagara-ratna__the-unlocking.kn.mp3,audio/chapter-1-rise-of-legends__sagara-ratna__the-unlocking.m4a,,,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/east/sagara-ratna,YES,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/east/sagara-ratna/stories,1,the-unlocking,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/east/sagara-ratna/media/tattoo,0,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/east/sagara-ratna/media/emblem,0,,,0,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/east/sagara-ratna/media/portraits,0,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/east/sagara-ratna/media/vehicles,0,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/east/sagara-ratna/media/weapons,0,
Volume I - Maha Parva,Chapter 1 - Rise of Legends,east,sundara-vana,Sundara-Vana — The Beautiful Darkness,Sundarvani,Kala-Nadi,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/east/sundara-vana/stories/the-swamp-that-swallows/story.md,audio/kannada/chapter-1-rise-of-legends__sundara-vana__the-swamp-that-swallows.kn.mp3,audio/chapter-1-rise-of-legends__sundara-vana__the-swamp-that-swallows.m4a,,,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/east/sundara-vana,YES,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/east/sundara-vana/stories,1,the-swamp-that-swallows,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/east/sundara-vana/media/tattoo,4,west-bengal-tattoo-stage-1-footprint.png; west-bengal-tattoo-stage-2-leg.png; west-bengal-tattoo-stage-3-half-body.png; west-bengal-tattoo-stage-4-full-body.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/east/sundara-vana/media/emblem,2,ganga-sundari-royal-emblem.png; west-bengal-sundara-vana-emblem.png,,0,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/east/sundara-vana/media/portraits,1,ganga-sundari-hero-portrait.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/east/sundara-vana/media/vehicles,2,west-bengal-vehicle-jal-nauka-ancient.png; west-bengal-vehicle-jal-vahana-modern.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/east/sundara-vana/media/weapons,2,west-bengal-weapon-jal-jaal-ancient.png; west-bengal-weapon-jal-jaal-mk-ii-modern.png
Volume I - Maha Parva,Chapter 1 - Rise of Legends,east,vajra-bhumi,Vajra-Bhumi — The Thunderbolt Land,Vajramukha,Tamasa,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/east/vajra-bhumi/stories/the-poet-and-the-conqueror/story.md,audio/kannada/chapter-1-rise-of-legends__vajra-bhumi__the-poet-and-the-conqueror.kn.mp3,audio/chapter-1-rise-of-legends__vajra-bhumi__the-poet-and-the-conqueror.m4a,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/east/vajra-bhumi/media/kingdoms,11-vajra-bhumi_hero_vajramukha copy.png,11-vajra-bhumi_villain_ashoka_chaya.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/east/vajra-bhumi,YES,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/east/vajra-bhumi/stories,1,the-poet-and-the-conqueror,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/east/vajra-bhumi/media/tattoo,4,bihar-tattoo-stage-1-footprint.png; bihar-tattoo-stage-2-leg.png; bihar-tattoo-stage-3-half-body.png; bihar-tattoo-stage-4-full-body.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/east/vajra-bhumi/media/emblem,2,bihar-vajra-bhumi-emblem.png; bodhi-kshetra-royal-emblem.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/east/vajra-bhumi/media/kingdoms,13,11-vajra-bhumi_ally_nalanda_acharya.png; 11-vajra-bhumi_ally_prabhavati_scarred_wife.png; 11-vajra-bhumi_animal_gaur_indian_bison.png; 11-vajra-bhumi_animal_indian_rollers_nalanda.png; 11-vajra-bhumi_environment_nalanda_ruins.png; 11-vajra-bhumi_environment_pataliputra_kumhrar_pillar.png; 11-vajra-bhumi_hero_vajramukha.png; 11-vajra-bhumi_hero_vajramukha__gaur_rage_unleashed.png; 11-vajra-bhumi_scene_scene_battle_at_the_library_door.png; 11-vajra-bhumi_scene_scene_warrior_and_poet.png; 11-vajra-bhumi_villain_ashoka_chaya.png; 11-vajra-bhumi_weapon_inscribed_gauntlets_and_bands.png; _alt_11-vajra-bhumi_hero_vajramukha_optionB.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/east/vajra-bhumi/media/portraits,1,bodhi-kshetra-hero-portrait.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/east/vajra-bhumi/media/vehicles,2,bihar-vehicle-maha-gaur-ancient.png; bihar-vehicle-vajra-ratha-modern.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/east/vajra-bhumi/media/weapons,2,bihar-weapon-vajra-ancient.png; bihar-weapon-vajra-mk-ii-modern.png
Volume I - Maha Parva,Chapter 1 - Rise of Legends,east,vana-agni,Vana-Agni — The Forest Fire,Vanajara,Vana-Raksha,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/east/vana-agni/stories/the-war-beneath-the-roots/story.md,audio/kannada/chapter-1-rise-of-legends__vana-agni__the-war-beneath-the-roots.kn.mp3,audio/chapter-1-rise-of-legends__vana-agni__the-war-beneath-the-roots.m4a,,,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/east/vana-agni,YES,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/east/vana-agni/stories,1,the-war-beneath-the-roots,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/east/vana-agni/media/tattoo,4,jharkhand-tattoo-stage-1-footprint.png; jharkhand-tattoo-stage-2-leg.png; jharkhand-tattoo-stage-3-half-body.png; jharkhand-tattoo-stage-4-full-body.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/east/vana-agni/media/emblem,2,jharkhand-vana-agni-emblem.png; vananchal-royal-emblem.png,,0,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/east/vana-agni/media/portraits,1,vananchal-hero-portrait.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/east/vana-agni/media/vehicles,2,jharkhand-vehicle-aranya-vahana-modern.png; jharkhand-vehicle-maa-hastini-ancient.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/east/vana-agni/media/weapons,2,jharkhand-weapon-vana-agni-mk-ii-modern.png; jharkhand-weapon-vanavriksha-ancient.png
Volume I - Maha Parva,Chapter 1 - Rise of Legends,north,deva-bhumi,Deva-Bhumi — The Land of Gods,Kasturika,Hima-Mara,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/deva-bhumi/stories/the-child-who-survived-the-mountain/story.md,audio/kannada/chapter-1-rise-of-legends__deva-bhumi__the-child-who-survived-the-mountain.kn.mp3,audio/chapter-1-rise-of-legends__deva-bhumi__the-child-who-survived-the-mountain.m4a,,,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/deva-bhumi,YES,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/deva-bhumi/stories,1,the-child-who-survived-the-mountain,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/deva-bhumi/media/tattoo,4,uttarakhand-tattoo-stage-1-footprint.png; uttarakhand-tattoo-stage-2-leg.png; uttarakhand-tattoo-stage-3-half-body.png; uttarakhand-tattoo-stage-4-full-body.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/deva-bhumi/media/emblem,2,devabhumi-royal-emblem.png; uttarakhand-deva-bhumi-emblem.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/deva-bhumi/media/kingdoms,8,13-deva-bhumi_ally_the_footless_father.png; 13-deva-bhumi_animal_himalayan_monal.png; 13-deva-bhumi_animal_musk_deer.png; 13-deva-bhumi_environment_avalanche_ruined_shrine.png; 13-deva-bhumi_environment_kedarnath_sacred_peaks.png; 13-deva-bhumi_hero_kasturika.png; 13-deva-bhumi_scene_scene_the_quietest_war.png; 13-deva-bhumi_villain_kedar_rakshasa.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/deva-bhumi/media/portraits,1,devabhumi-hero-portrait.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/deva-bhumi/media/vehicles,2,uttarakhand-vehicle-hima-vahana-ancient.png; uttarakhand-vehicle-hima-vega-mk-ii-modern.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/deva-bhumi/media/weapons,2,uttarakhand-weapon-kasturi-jaal-ancient.png; uttarakhand-weapon-kasturi-mk-ii-modern.png
Volume I - Maha Parva,Chapter 1 - Rise of Legends,north,ganga-simhasana,Ganga-Simhasana — The Throne on the Ganga,Gangaputra,Adharma,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/ganga-simhasana/stories/the-son-the-river-claimed/story.md,audio/kannada/chapter-1-rise-of-legends__ganga-simhasana__the-son-the-river-claimed.kn.mp3,audio/chapter-1-rise-of-legends__ganga-simhasana__the-son-the-river-claimed.m4a,,,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/ganga-simhasana,YES,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/ganga-simhasana/stories,1,the-son-the-river-claimed,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/ganga-simhasana/media/tattoo,4,uttar-pradesh-tattoo-stage-1-footprint.png; uttar-pradesh-tattoo-stage-2-leg.png; uttar-pradesh-tattoo-stage-3-half-body.png; uttar-pradesh-tattoo-stage-4-full-body.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/ganga-simhasana/media/emblem,2,ayodhya-kal-royal-emblem.png; uttar-pradesh-ganga-simhasana-emblem.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/ganga-simhasana/media/kingdoms,11,14-ganga-simhasana_ally_the_midwife_of_the_flood.png; 14-ganga-simhasana_animal_sarus_crane_pair.png; 14-ganga-simhasana_environment_kumbh_mela_multitude.png; 14-ganga-simhasana_environment_varanasi_ghats_kingdom.png; 14-ganga-simhasana_hero_gangaputra.png; 14-ganga-simhasana_hero_gangaputra__antlers_burning.png; 14-ganga-simhasana_relic_chain_iron_throne.png; 14-ganga-simhasana_scene_scene_charity_and_sabotage.png; 14-ganga-simhasana_scene_scene_the_question_at_the_kumbh.png; 14-ganga-simhasana_villain_kansa_putra.png; 14-ganga-simhasana_villain_kansa_putra__the_chain_iron_throne.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/ganga-simhasana/media/portraits,1,ayodhya-kal-hero-portrait.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/ganga-simhasana/media/vehicles,2,uttar-pradesh-vehicle-dwadash-ratha-ancient.png; uttar-pradesh-vehicle-dwadash-vahana-modern.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/ganga-simhasana/media/weapons,2,uttar-pradesh-weapon-dwadash-mukut-ancient.png; uttar-pradesh-weapon-dwadash-shakti-mk-ii-modern.png
Volume I - Maha Parva,Chapter 1 - Rise of Legends,north,hima-chhaya,Hima-Chhaya — The Snow Shadow,Himavati,Hima-Asura,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/hima-chhaya/stories/the-ghost-and-the-fire/story.md,audio/kannada/chapter-1-rise-of-legends__hima-chhaya__the-ghost-and-the-fire.kn.mp3,audio/chapter-1-rise-of-legends__hima-chhaya__the-ghost-and-the-fire.m4a,,,,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/hima-chhaya,YES,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/hima-chhaya/stories,1,the-ghost-and-the-fire,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/hima-chhaya/media/tattoo,4,himachal-pradesh-tattoo-stage-1-footprint.png; himachal-pradesh-tattoo-stage-2-leg.png; himachal-pradesh-tattoo-stage-3-half-body.png; himachal-pradesh-tattoo-stage-4-full-body.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/hima-chhaya/media/emblem,2,himachal-pradesh-hima-chhaya-emblem.png; himalaya-durg-royal-emblem.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/hima-chhaya/media/kingdoms,11,15-hima-chhaya_ally_pahari_wood_carver_father.png; 15-hima-chhaya_animal_snow_leopard.png; 15-hima-chhaya_animal_western_tragopan.png; 15-hima-chhaya_environment_himachal_snow_peaks_village.png; 15-hima-chhaya_environment_weeping_glacier_flood.png; 15-hima-chhaya_hero_himavati.png; 15-hima-chhaya_hero_himavati__burned_hands_retreat.png; 15-hima-chhaya_scene_scene_ice_woman_fire_man.png; 15-hima-chhaya_scene_scene_the_carved_leopard.png; 15-hima-chhaya_villain_himaalaya_rakshasa.png; 15-hima-chhaya_weapon_twin_climbing_daggers.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/hima-chhaya/media/portraits,1,himalaya-durg-hero-portrait.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/hima-chhaya/media/vehicles,2,himachal-pradesh-vehicle-hima-shardula-ancient.png; himachal-pradesh-vehicle-hima-vahana-modern.png,content/volume-1-maha-parva/chapter-1-rise-of-legends/bharatavarsha/regions/north/hima-chhaya/media/weapons,2,himachal-pradesh-weapon-hima-nakha-ancient.png; himachal-pradesh-weapon-hima-nakha-mk-ii-modern.png
