id,state,region,chapter,delta_type,hero_name,status_change,new_tattoo_level,bond_status,key_event,new_relationships,inherited_from,notes
karnataka,Karnataka,south,2,death,Tungabhadra,deceased,3,bond-transferred,Destroys the imperial throne-stone publicly at the new-moon ceremony; dies in the buried-temple chamber collapse alongside Bhoomi-Takshaka. Both Bloodline-A heirs fall under the same rubble.,Krishnadevaraya-Bhrata inherits the elephant-bond; Hampi-of-the-Bronze becomes his ward; Veerappa-Hadali holds the Council veto she promised,—,Hero death is the spine event of the entire male-led restructure. Her Stage III mark passes to her cousin unworn; he begins again at Stage I.
karnataka,Karnataka,south,2,new-hero,Krishnadevaraya-Bhrata,active,1,bond-inherited,Defected from Bhoomi-Takshaka's Restorationist court three weeks before the new-moon ceremony with the buried-temple blueprints. After the throne-stone falls Gajasena walks to him and the elephant-tattoo appears on his right shoulder-blade. Reads Old Parashurama's bird-letter at chapter's end and accepts the invitation to Kerala.,Bloodline-A cousin to Tungabhadra (deceased) and to her half-sister Krishnaveni of AP; twin brother to Bhoomi-Takshaka (deceased); ward of Hampi-of-the-Bronze and the Third Herald; student-elect of Old Parashurama,Tungabhadra (cousin),"New hero of Karnataka. Will be the Maha-Adhipati of Volume I. Yudhishthira-mapped (reluctant king), 36 years old at the moment of the bond transfer."
andaman,Andaman & Nicobar,east,2,status,Onge-Nakshatra,active,2,bond-stable,No direct Ch 2 prose yet — referenced indirectly in Goa as a distant Bloodline-E cousin who could potentially recover Sagaradeva's lost tridents. Onge-Nakshatra's own Chapter 2 arc TBD in a later session.,—,—,Placeholder — awaiting full Ch 2 story for Sagara-Ratna.
goa,Goa,west,2,death,Sagaradeva,deceased,3,bond-walking,"Raised the oldest Konkan cyclone alone in Mormugao Bay using both Samudra and Lahara tridents. Killed Maha-Vega in the storm (cyclone-eye shot at the storm-form's shoulder; throat-shot at the man inside). Lost both tridents into the bay with the body. Held the cyclone empty-handed until the foreign flagship broke on the rocks below Aguada Fort. Released the storm. The release killed him. Body recovered at Sinquerim by Sona Tendulkar.",Bloodline-E uncle to Shivagati (Maharashtra — about to receive the walking gaur-bond); cousin to Simhavikrama (Gujarat) and Mrigatrishna (Rajasthan); distant cousin of Onge-Nakshatra (Andaman) via the same line; the gaur-bond is in transit to Shivagati first then Simhavikrama,Shivagati then Simhavikrama (double-walking transfer),"Karna-fate fulfilled. He kept the 1873 promise extracted by Bhau Tendulkar's great-grandfather past the point at which it should have been let go. The tridents are lost (53m down in Mormugao Bay). His Stage IV is unearned and unassigned at chapter's end — the mark walks on the gaur herself through the Konkan forest. Per D9 the gaur-bond ends in Ch 3 with Simhavikrama (Gujarat) as the second permanent inheritor of a Bloodline-E double-bond. He is buried alongside Maha-Vega in the same coastal grove by Sona Tendulkar's decision."
maharashtra,Maharashtra,west,2,double-bond,Shivagati,active,"Sq 2.5 / Gr 1",squirrel-stable + gaur-arrived,"Maintained her Ch 1 federation through the first month of Vanaraksha's primogeniture petition (council count 14-24-9). On day 31 the Goan gaur arrives at her cliff-edge outpost three nights after Sagaradeva's death; the gaur-bond settles as her second bond, hoofprint forms mid-back. Spends a fortnight tour-climbing her remaining forts. On day 49 climbs the eastern wall of Tanaji-the-Second's silent fort alone and unarmed; presents herself in his command-room; he kneels in half-recognition. Squirrel-foreleg completes. Three more forts convert in the following fortnight. Federation count ends 27-20 in her favour. Survives Ch 2 wounded only in trust.",Bloodline-E niece to Sagaradeva (deceased Goa) and cousin to Simhavikrama (Gujarat); elder sister to Vanaraksha; cousin Bhausaheb at Sinhagad is her closest non-Vanaraksha kin; Tanaji-the-Second becomes her first follower-by-skill; partnered (federation) with Ferreira-de-Sangam in Goa via exchanged pigeon-letters,—,"First double-bonded hero in the saga (squirrel + gaur). Abhimanyu-mapped (the brilliant young warrior caught in the chakravyuha she cannot fully exit). Survives Chapter Two with cracks visible — Vanaraksha alive, half her kingdom against her, Maw has taken one of her squirrels. Per restructure §4 she dies in Chapter Three in a duel with Vanaraksha; the squirrel-bond dies with her body, the gaur-bond walks again to Simhavikrama. Her elder cousin Bhausaheb-the-First's grave remains under Vanaraksha's flag at chapter's end — the next-chapter recovery problem."
uttar-pradesh,Uttar Pradesh,north,2,step-back,Gangaputra,active,3,bond-split,"Discovered the existence of his 14-year-old son Yamunadatta on day 1 when Radhika of Vrindavan brought the boy to the Lucknow throne-room. Adharma published the elder-bloodline claim from Banaras within 48 hours. Three nights of indecision at the Ganga; Sage Vidyaranya's spirit (cross-kingdom appearance) gave the Krishna-shadow counsel. At the Bara Imambara assembly (~9,000 in attendance) acknowledged the boy and abdicated in his favour in the same speech; placed the Dwadash-Mukut on the boy's head in the half-kneel of dharmic transfer. Mahaguru Drona-of-the-Plain's straight testimony denied Adharma's regency-counter-writ. Stage III foreleg-mark completed at the half-kneel — earned by surrender, not victory.",Bloodline-B half-brother to Adharma (alive in Banaras still drafting writs); now father to Yamunadatta (acknowledged heir of UP); regent-protector under the Imambara settlement; cousin (B+A) to Krishnadevaraya-Bhrata of Karnataka — they exchange pigeon-letters by chapter end; former student of Mahaguru Drona-of-the-Plain (whose 40-year debt to Adharma-Kendra was reversed by his Imambara testimony); ex-lover to Radhika of Vrindavan (now a third-party arbitration-seat dharmic counsellor),—,"Krishna-mapped (the driver of the chariot, not its rider). The first 'step-back' hero of Chapter 2 — survives, retains the bond, transfers the throne. The barasingha-bond splits into a SPLIT-BOND across two bodies (father at Stage III, son at Stage I) — a saga first, distinct from Maharashtra's double-bond (two animals one body). Per restructure §4 he holds the regent role through Ch 3 and Ch 4; the Stage IV full-body mark he releases to Yamunadatta. Will be the senior North voice at the Sanctuary convening."
uttar-pradesh,Uttar Pradesh,north,2,new-king,Yamunadatta,active,1,bond-inherited-split,"Brought by his mother Radhika from Vrindavan on day 1; named publicly by his father at the throne-room within hours; named again by Adharma at Dasaswamedh Ghat in Banaras 48 hours later. Briefed for ten days by Vidura-Babu in private chamber sessions before the Imambara assembly. Accepted the throne and the regency arrangement in one composed declaration at the Imambara. Sarus Crane landed on his shoulder during the assembly — Stage I hoofprint forms over the following week on his upper back. Survives Ch 2 as the visible Maharaj of UP.",Son of Gangaputra (B) and Radhika (A); half-Bloodline-B / half-Bloodline-A; nephew of Adharma (with whom he has refused political alignment); cousin (and now formally cousin-nephew per Krishnadevaraya-Bhrata's bird-letter) to Krishnadevaraya-Bhrata of Karnataka; will be the boy his uncle Krishnadevaraya-Bhrata meets at the Sanctuary; ward of Vidura-Babu administratively and of his mother Radhika dharmically,—,"Abhimanyu-mapped (the young warrior given more than his years should hold). Fourteen at his coronation. Will grow into the visible throne-figure of the North Dominant in Ch 3 — the senior crown of the Council. Will earn Stages II-III in Ch 3 (Beast-Rising + Unity Trial), Stage IV in Ch 4 (Kurukshetra). His Bloodline-A heritage (through Radhika's Gajavamsha-Vrindavan line) makes him cousin to Krishnadevaraya-Bhrata and to Krishnaveni — the throne-line of Vol I now runs through three Bloodline-A-touched heroes (Krishnadevaraya-Bhrata, Yamunadatta, and the deceased Tungabhadra's lineage)."
madhya-pradesh,Madhya Pradesh,central,2,cracked-survival,Dvadashashringa,active,"3 (cracked)",bond-cracked,"Twelve-court system founded in his Ch 1 reign collapses under famine pressure. Adharma-Kendra returns as a 'neutral senior counsellor' weaponising abstain-only voting; courts deadlock for seven weeks while famine deaths climb. Sutrakara (12) presents corrected mortality arithmetic at the assembly; her motion is denied 10-1 with Adharma-Kendra abstaining. Father-daughter corridor conversation reframes dharma as 'what gets done, not what is decided.' Drona-of-the-Plain arrives hunted from Lucknow with proof of villain-coordination across Karnataka, Goa, and MP. Dvadashashringa dissolves all twelve courts by striking the assembly floor 12 times with the Dwadash staff — staff breaks at strike 8, ends in three pieces by strike 12. Stage III foreleg-mark completes CRACKED — visible scar through the antler-curve where bond-ink does not settle. Emergency single-court governance instituted; food convoys move in 48 hours. Final famine death-count: 47,000.",Bloodline-B younger half-brother to Gangaputra (UP — they exchange Sarus Crane letters by chapter end); maternal nephew to Adharma-Kendra (the catalyst); father to Sutrakara (who becomes his official advisor and the future Council non-hero seat); sheltered Drona-of-the-Plain (hunted from UP) as secret guest then public witness; cross-region alliance with Vidura-Babu of UP (two Awadhi administrators arrive on day 3); Aranya-Devi promoted to deputy chief justice,—,"Yudhishthira-mapped (the over-deliberator who must break his own deliberation-system). Survives Chapter Two as Central Dominant. The CRACKED mark is the saga's fifth bond-mechanic — distinct from death-transfer (Karnataka), bond-transit (Goa), double-bond (Maharashtra), and split-bond (UP). Carries the broken Dwadash staff in three pieces wrapped in saffron cloth into every Council session into Ch 3 and Ch 4. His Stage IV mark will form AROUND the crack, not over it. The first hero whose bond records the cost of the choice as a visible scar."
assam,Assam,northeast,2,mirror-bond-survives,Kamalavarna,active,3,bond-mirrored,"Discovered her adoptive mother Bhairavi-Naam dead at the Kamakhya temple (cause: cumulative rite-incompletion from secret participation in Kama-Mara's Open Coven). Crossed the Brahmaputra to meet Kama-Mara at the Saraighat ferry — first contact in 14 years. Met the wandering ascetic Bhairavi-Aaee at the temple gate. Lineage reveal: Bhairavi-Aaee is her biological mother AND Kama-Mara's biological mother. The 'cousins' are half-sisters. Authorised the forbidden Mahavidya rite (suppressed for 12 years). Performed the rite with Kama-Mara at the new moon. Earned Stage III rhinoceros-foreleg mark — mirror-position with her sister. The Brahmaputra at Saraighat reversed for one hour during the seventh hour; 114 rhinos at Kaziranga kneeled facing west for the rite's duration. Yielded the political throne to Moirangthem of Manipur. Co-High Priestess with Kama-Mara going forward.",Half-sister to Kama-Mara (same mother Bhairavi-Aaee, different fathers); biological daughter to Bhairavi-Aaee (wandering ascetic); adoptive daughter to the deceased Bhairavi-Naam (matriarch); cousin to Moirangthem of Manipur (Chandravamsha Sangai-deer line — political throne now his); cross-bloodline cousin to Shivagati of Maharashtra (Bloodline C + E intersection); pigeon-letter correspondent with Sutrakara of MP (great-aunt addressed by the 12-year-old),—,"Bhima + Kali mapped (raw strength of dharma channeled through Tantric Shakti). Survives Chapter Two with the saga's sixth bond-mechanic: the MIRROR-BOND. First sister-bond in Bharatavarsha. Per restructure §1 she becomes the cosmic High Priestess of Kamakhya for Ch 3 and 4 — politically yielding the NE Regional Dominant seat to Moirangthem (Manipur). The Chandravamsha matriarchy continues through her, but the visible political throne is now Manipur. Will hold the cosmic seat at the Sanctuary convening in Ch 3."
meghalaya,Meghalaya,northeast,2,death-stage3,Meghanadi,deceased,3,bond-dormant,"Received Megha-Daitya's 47-petition wave in week 1. Council of Matrilineal Elders fractured three ways (Strict-Matrilineal / Garo-Mixed / Patrilineal Petitioners); she erased herself in council as she had for nine years. Received anonymous warning about Ka-Sngi 4 days before her cousin's death; did not act. Ka-Sngi killed at Nongriat bridge in week 3. U-Mawkynrew arrived in week 4 and broke her silence with one sentence. Drafted and presented the three-part settlement framework at the State Central Library; passed 86-31-4 on day three. Megha-Daitya organised armed storm-faction; attacked Meghalaya High Court at monsoon's heaviest week. Meghanadi charged through the courtyard alone with the Megha-Dand cloud-staff; Stage III foreleg-mark completed at metre 16 of the charge; four submachine-gun shots hit her chest at metre 18; she reached him at metre 22 and drove the staff through his sternum. Mutual kill. Stage III mark complete on her body at death.",Half-cousin to Kamalavarna and Kama-Mara of Assam (Bloodline C — corrected lineage tree); aunt-mother to Ka-Sngi (deceased week 3); aunt to Ka-Sienlyngdoh (12 — future bond-bearer); explicit-wish inheritor U-Khrawkmen (Garo elder's son raised by U-Mawkynrew); cross-kingdom: hill-myna correspondence with Vidura-Babu of UP and Kamalavarna of Assam,Ka-Sienlyngdoh (when bond settles in Ch 3 Beast-Rising),"Kunti-mapped (the mother who carries the silence too long). Second female hero death of Chapter Two (after Tungabhadra). The first hero to earn Stage III IN THE MOMENT OF DYING — the mark completes at metre 16 of the charge, the killing-shots arrive at metre 18, she reaches Megha-Daitya at metre 22. Saga's seventh bond-mechanic: the DORMANT BOND. The clouded leopard stays with the line, waiting for Ka-Sienlyngdoh's threshold. The Megha-Dand cloud-staff is preserved at the State Central Library ceremonial vault. The political seat passes to U-Khrawkmen by explicit written wish (first male inheritor of a matrilineal kingdom in Khasi history)."
